               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.061071,            0.019432,                   0,              0.3085,             0.23077,             0.13803,            0.051453,             0.07162,            0.013718,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.060722,            0.020365,                   0,             0.40806,             0.47808,              0.4164,             0.15675,            0.062369,            0.012363,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.06188,            0.020708,                   0,             0.37163,             0.30769,             0.27066,             0.11751,            0.065304,            0.012996,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.060343,            0.020441,                   0,             0.38482,             0.33842,             0.27328,             0.11538,            0.065782,            0.013979,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.061201,            0.020198,                   0,             0.53733,             0.35939,             0.35707,             0.13421,            0.064831,            0.013476,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.059563,            0.019583,                   0,             0.43346,             0.46154,             0.31393,               0.107,            0.064097,            0.014438,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.058954,            0.019478,                   0,              0.5658,             0.46154,             0.47303,             0.16815,            0.061898,            0.012343,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.058138,            0.019169,                   0,             0.43189,             0.38462,             0.26597,             0.11743,            0.063747,            0.012473,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.057288,            0.020256,                   0,             0.53537,             0.38462,             0.38377,             0.11974,            0.062539,              0.0131,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.058289,            0.019652,                   0,             0.31315,             0.30769,             0.22984,             0.10415,            0.061861,            0.012931,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.058469,            0.020518,                   0,             0.52713,             0.51579,             0.42724,             0.17251,            0.062709,            0.012094,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.058548,            0.019389,                   0,             0.42073,             0.53846,             0.41672,             0.17129,            0.063109,            0.012543,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.057977,             0.01801,                   0,             0.22546,             0.30769,             0.21228,             0.10031,            0.066651,            0.013097,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.058097,            0.020109,                   0,             0.30057,             0.38462,             0.22818,             0.11066,            0.060577,            0.013962,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.056909,            0.019734,                   0,             0.45233,             0.53846,              0.3446,             0.12495,            0.061244,            0.012795,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.056773,            0.019346,                   0,              0.3055,             0.57603,             0.32799,              0.1178,            0.061077,            0.012938,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.057899,            0.018999,                   0,             0.59587,              0.4544,              0.3664,              0.1199,            0.061821,            0.012646,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.055787,            0.020121,                   0,             0.47405,             0.55549,             0.43729,             0.14271,            0.060937,            0.012876,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.055443,            0.019019,                   0,             0.50139,             0.46154,             0.35651,             0.11524,            0.062029,            0.013154,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.053753,            0.019417,                   0,             0.27862,             0.53846,             0.24386,             0.10235,            0.064495,            0.013201,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.057037,            0.018675,                   0,             0.61062,             0.38462,             0.38137,             0.13081,            0.062597,            0.013048,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.056067,            0.019136,                   0,             0.52571,             0.38462,             0.39654,             0.17292,            0.060986,            0.012843,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.054684,            0.018779,                   0,             0.41995,             0.38462,             0.30035,             0.12644,             0.06202,            0.012851,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.055052,             0.02076,                   0,             0.41908,             0.38462,             0.31829,             0.13455,            0.061321,            0.012412,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.056146,            0.020133,                   0,             0.42873,             0.46186,             0.41543,             0.15996,            0.059678,            0.012542,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.055682,            0.019176,                   0,             0.57523,               0.522,             0.41324,             0.16171,            0.058882,            0.012834,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.055475,            0.019732,                   0,             0.59625,             0.46154,             0.38794,             0.17615,            0.057234,            0.012794,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.054403,            0.018951,                   0,             0.56718,             0.53846,             0.47427,             0.16283,            0.061503,            0.012543,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.055894,            0.018003,                   0,             0.63409,             0.46154,             0.41992,             0.14301,            0.061804,            0.012639,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.053661,            0.018898,                   0,             0.55481,             0.38359,             0.32339,             0.12162,            0.060808,            0.012839,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.052724,            0.018653,                   0,              0.3128,              0.5609,             0.26628,             0.14393,            0.058489,            0.012983,                   0,            0.000298,            0.000298,            0.000298
